cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,509.3262184163409,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,514.3262184163409,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,514.6428850830076,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,515.6428850830076,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,518.6428850830076,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,519.3659506183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,519.3692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,520.3692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Drive Monopile,1.5,25000.0,ACTION,521.8692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,523.8692006183354,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,524.8692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,525.8692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,529.8692006183354,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,530.1858672850021,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Position Onsite,5.0,83333.33333333334,ACTION,535.1858672850021,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,535.5025339516689,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,536.5025339516689,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Monopile,3.0,50000.0,ACTION,539.5025339516689,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,540.2255994869967,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,540.2288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,541.2288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Drive Monopile,1.5,25000.0,ACTION,542.7288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,544.7288494869966,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,545.7288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,546.7288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,550.7288494869966,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,551.0455161536634,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,554.2887593969066,MonopileInstallation,,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,566.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,574.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,586.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,594.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,606.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,614.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,626.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,634.2887593969066,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0
