cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name,site_position_time,location
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,642.8692006183359,MonopileInstallation,,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,643.8692006183359,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,644.8692006183359,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,648.8692006183359,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,649.1858672850026,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Position Onsite,5.0,52083.33333333333,ACTION,654.1858672850026,MonopileInstallation,,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,654.5025339516693,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,655.5025339516693,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Monopile,3.0,31250.0,ACTION,658.5025339516693,MonopileInstallation,,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,659.2255994869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,659.2288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,660.2288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,661.7288494869971,MonopileInstallation,22.5,150.0,6.0,MonopileInstallation,5.0,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,663.7288494869971,MonopileInstallation,,,,,,
