cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4325.538902661002,TurbineInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,4325.8555693276685,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4328.8555693276685,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.38,6333.333333333334,ACTION,4329.235569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4335.235569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4338.235569327669,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.76,12666.666666666668,ACTION,4338.995569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4344.995569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4347.995569327669,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.14,19000.0,ACTION,4349.135569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4355.135569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4358.135569327669,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.52,25333.333333333336,ACTION,4359.655569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4365.655569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Nacelle,3.0,50000.0,ACTION,4368.655569327669,TurbineInstallation,,,,
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4369.655569327669,TurbineInstallation,,,,
,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4371.155569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4377.155569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4378.155569327669,TurbineInstallation,,,,
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4379.155569327669,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4380.655569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4384.155569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4385.155569327669,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4386.655569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4390.155569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4391.155569327669,TurbineInstallation,,,,
,WTIV,Lift Blade,1.5,25000.0,ACTION,4392.655569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Blade,3.5,58333.333333333336,ACTION,4396.155569327669,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,4396.472235994335,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,4398.472235994335,TurbineInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,4398.788902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4401.788902661002,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.38,6333.333333333334,ACTION,4402.168902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4408.168902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4411.168902661002,TurbineInstallation,,,,
,WTIV,Lift Tower Section,0.76,12666.666666666668,ACTION,4411.928902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4417.928902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4420.928902661002,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.14,19000.0,ACTION,4422.0689026610025,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4428.0689026610025,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Tower Section,3.0,50000.0,ACTION,4431.0689026610025,TurbineInstallation,,,,
,WTIV,Lift Tower Section,1.52,25333.333333333336,ACTION,4432.588902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Tower Section,6.0,100000.0,ACTION,4438.588902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Release Nacelle,3.0,50000.0,ACTION,4441.588902661002,TurbineInstallation,,,,
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4442.588902661002,TurbineInstallation,,,,
,WTIV,Lift Nacelle,1.5,25000.0,ACTION,4444.088902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Attach Nacelle,6.0,100000.0,ACTION,4450.088902661002,TurbineInstallation,TurbineInstallation,,22.5,150.0
,WTIV,Reequip,1.0,16666.666666666668,ACTION,4451.088902661002,TurbineInstallation,,,,
,WTIV,Release Blade,1.0,16666.666666666668,ACTION,4452.088902661002,TurbineInstallation,,,,
