cost_multiplier,agent,action,duration,cost,level,time,phase,site_depth,hub_height,per_trip,phase_name
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,484.49603823616076,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,484.8127049028274,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,486.8127049028274,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,487.1293715694941,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,488.1293715694941,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,491.1293715694941,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,491.8524371048219,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,491.85568710482187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,492.85568710482187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,494.35568710482187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,496.35568710482187,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,497.35568710482187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,498.35568710482187,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Delay,93.0,1550000.0,ACTION,591.3556871048219,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,595.3556871048219,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,595.6723537714886,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Position Onsite,2.0,33333.333333333336,ACTION,597.6723537714886,MonopileInstallation,,,,
,WTIV,Jackup,0.31666666666666665,5277.777777777778,ACTION,597.9890204381553,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,RovSurvey,1.0,16666.666666666668,ACTION,598.9890204381553,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Monopile,3.0,50000.0,ACTION,601.9890204381553,MonopileInstallation,,,,
,WTIV,Upend Monopile,0.7230655353278155,12051.092255463593,ACTION,602.7120859734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower Monopile,0.0032500000000000003,54.16666666666668,ACTION,602.7153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,603.7153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Drive Monopile,1.5,25000.0,ACTION,605.2153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Release Transition Piece,2.0,33333.333333333336,ACTION,607.2153359734831,MonopileInstallation,,,,
,WTIV,Crane Reequip,1.0,16666.666666666668,ACTION,608.2153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Lower TP,1.0,16666.666666666668,ACTION,609.2153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Bolt TP,4.0,66666.66666666667,ACTION,613.2153359734831,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Jackdown,0.31666666666666665,5277.777777777778,ACTION,613.5320026401498,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Transit,3.2432432432432434,54054.05405405406,ACTION,616.775245883393,MonopileInstallation,,,,
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,628.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,636.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,648.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Transition Piece,8.0,133333.33333333334,ACTION,656.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
,WTIV,Fasten Monopile,12.0,200000.0,ACTION,668.775245883393,MonopileInstallation,22.5,150.0,4.0,MonopileInstallation
